name,platform,release_date,summary,metascore,userscore
#KILLALLZOMBIES,PlayStation 3,"March 7, 2017","In the distant future; #KILLALLZOMBIES is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.",tbd,tbd
.detuned,PlayStation 3,"October 15, 2009","[Playstation Network]  Developed by .theprodukkt, .detuned is a personalized, interactive music experience which gives you the opportunity to create dynamic artwork in real-time to accompany your XMB music collection. Manipulate the given scene by interacting with and modifying its unique graphics using the DUALSHOCK 3 Wireless Controller. Plus you can change and tweak your own music to accompany the scene. Download .detuned today for an artistic music experience. [SCEA]",46,3.7
.hack//G.U. vol. 1//Rebirth,PlayStation 2,"October 24, 2006","Years after the events of the first .hack installment, the most popular MMORPG in the world has returned from the ashes as ""The World: R2"". As Haseo the Terror of Death, players are thrown into his quest for revenge in his search for the mysterious PK (Player Killer) Tri-Edge. This time, players will interact in the real and virtual worlds with fellow ""The World"" players through various chats, mails, and fully voiced video news clips. Together with Haseo’s virtual partners, login to challenge and solve the mysteries of ""The World"". [Namco Bandai]",69,8.0
.hack//G.U. vol. 2//Reminisce,PlayStation 2,"May 8, 2007","Taking place after  "".hack//G.U. Vol. 1: Rebirth,"" .hack//G.U. Vol. 2: Reminisce has players returning to the fictitious Massive Multiplayer Online (MMO) setting called ""The World"" to continue Haseo's journey as he and his friends look to escape from what has become a digital trap. After the massive battle with Tri-Edge at the conclusion of ""Rebirth"" Haseo and friends learn they are incapable of logging out of ""The World"". As the life of one of their own hangs in the balance, Haseo’s party begins a race against time to purge game servers of corrupted data. Players will enjoy a fully upgraded battle system including new fighting styles and in-depth party and steam bike customization. Unique to Reminisce, a new mini card game called Crimson VS provides players with the opportunity to collect cards, compile the ultimate deck and compete against others in Crimson VS tournaments throughout ""The World."" [Namco Bandai Games]",61,8.3
.hack//G.U. vol. 3//Redemption,PlayStation 2,"September 10, 2007","Continuing where the second installment left off, in .hack//G.U. Vol. 3: Redemption Haseo discovers that old enemies have returned and some friends have turned against him. And with the mysterious evil that once lurked only within the confines of the MMO now causing havoc in the real world, Haseo and his friends must overcome impending doom and restore balance to both realities. In .hack//G.U. Vol. 3: Redemption, players can utilize an enhanced battle system in which both Haseo and his Avatar Skeith will evolve into new forms to utilize more powerful attacks. Haseo can also obtain a new Awakening mode to deliver extreme damage to enemies.  Having so much more power isn’t fun if you can’t share it! Players can now choose from 22 unique characters to join Haseo's party, explore two new towns, and conquer two new dungeons.  With new enemies, more steam bike parts and steam bike missions, new cards for the popular Crimson VS card battle game, and the final tier of the Arena Battles, players won’t want to log out of .hack//G.U. Vol. 3: Redemption. [Namco Bandai Games]",60,8.7
.hack//Infection Part 1,PlayStation 2,"February 10, 2003","A fourteen year old boy named Kite is invited by his schoolmate, Orca, to play the online game The World. While playing the game both Kite and his friend are attacked by an unknown monster. As a result, Orca becomes comatose in the real world. Despite his friend's condition, Kite continues to play The World believing he'll find a way to revive Orca. While playing, Kite accepts Book of Twilight from a mysterious girl in white. Kite is transformed into an outlaw player within the game wielding the very same power responsible for Orca's condition. [Bandai]",75,8.3
.hack//Mutation Part 2,PlayStation 2,"May 6, 2003","In part 2 of this episodic, 4-part double-disc masterpiece, your remarkable party members meet up with the characters from .hack//SIGN television series, to support you through your painstaking journey to the truth. What is the developer of ""The World"" hiding? Kite continues his quest, armed with the forbidden abilities of Data Drain and Gate Hacking. Will he be able to save Orca and the other coma victims...? [Bandai]",76,8.5
.hack//Outbreak Part 3,PlayStation 2,"September 9, 2003","In the 3rd chapter of the .hack saga, ""The World"" continues to deteriorate as the virus spreads out of control. As the outlaw player, Kite, you must choose your strategy wisely. Not only is the OUTBREAK affecting ""The World"" in the game, but now repercussions are being felt in the real world too. Is there a way to stop this outbreak? Where does the answer to the mystery lie? Fight through contaminated cyberspace as you take on and eliminate enemies, and unlock codes to gate hack to even more environments. Will you ever find out who or what is behind this nightmare and wake Orca from his coma? [Bandai]",70,8.2
.hack//Quarantine Part 4,PlayStation 2,"January 14, 2004","The Final Stand... In this, the final episode in the .hack saga, play as the outlaw player Kite to finally unravel the mystery behind ""The World"". And this time it?s against the clock... As events in ""The World"" continue to create havoc in the real world, CC Corp faces increasing pressure to move the game servers offline game servers offline, meaning certain death for all comatose victims. It?s up to you now. Can you cure this virus and restore order in ""The World?"" And can you do it before time runs out for your friend, Orca? [Bandai]",70,8.2
007 Legends,PlayStation 3,"October 16, 2012","Each of the 007 Legends movie-inspired missions include multiple levels based on a re-imaginings of some of the most iconic Bond films, showcasing state-of-the-art spy gadgets, an arsenal of weapons and tricked-out vehicles, exotic locales, and intense moments that require Bond’s dexterity to defeat notorious villains and their wily henchmen.",41,4.1
007 Racing,PlayStation,"November 20, 2000","Pay attention, 007. This is for your eyes only. Q-Branch has re-engineered some of your favorite automobiles with additional gadgets and firepower. You'll need everything they've got, plus your own uncanny ability to beat the odds. The free world is depending on you. Oh, and one other thing before you go, 007 - try to bring them back in one piece.",51,5.0
007: Quantum of Solace,PlayStation 3,"November 4, 2008","Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage.  Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]",65,6.7
007: The World is not Enough,PlayStation,"November 6, 2000","Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of Q-Lab gadgets and weaponry, you must be suave and resourceful as you carry out action-packed missions based on the blockbuster movie.",61,6.8
18 Wheeler: American Pro Trucker,PlayStation 2,"November 14, 2001","Get behind the wheel of a 60 foot long, 20 ton, 18-wheeled beast and buckle up as you haul tail from New York to California and everywhere in between.  The PS2 version supports the Driving Force Racing Wheel, the Logitech steering wheel employed with with ""Gran Turismo 3."" ",61,5.4
187 Ride or Die,PlayStation 2,"August 23, 2005","187 Ride or Die is an urban-themed combat racing game that plunges players into a brutal street-racing gang war where victory depends on ruthless driving and deadly shooting skills. THe game features the voices and likenesses of Larenz Tate (""Menace II Society""), Noel Gugliemi (""Training Day,"" ""The Fast and the Furious""), and Guerilla Black. 187 Ride or Die tells the story of a reluctant urban hero named Buck (L. Tate), a young man living a thug's life seething with money, fast cars and beautiful women -- with danger lurking around every corner. Set in the underworld of Los Angeles, Buck must defend the territory of his mentor Dupree (G. Black) from a menacing nemesis and his gang of bandit roughriders, led by Cortez (N. Gugliemi), who are determined to take control of the streets. The game features Adrenaline-Pumping Combat-Racing Action: Put your pedal to the metal as you literally blow your opponent away in non-stop, intense and unique combat-racing action intensified with replay and slow-motion camera effects, and spectacular blur and filter effects. Select from a number of unique vehicles ranging from vintage roadsters to modern muscle cars in your quest to rule the streets. Strapped to the Nines: Put your hand on the pump and take out the opposition with numerous weapons, including an array of pistols, shotguns, and much more. [Ubisoft]",52,6.6
1942: Joint Strike,PlayStation 3,"July 24, 2008","[Playstation Network]  1942: Joint Strike takes inspiration and influence from the 194X series of World War II-themed vertical shooters. The art, sound, and gameplay of the new game takes cues from the original 194X games, but stands out as its own unique entry. Gameplay resembles the classic 2D style that gamers expect, but the game utilizes a full 3D engine. Set in a World War II-themed locale, stages, vehicles, and weapons have the look and feel of WWII with some stylistic differences. The world in which 1942 takes place is not our own and the events that transpire are not historically accurate, nor are they intended to be. This is an alternate world where history and technology developed along their own paths. As a result, players jump into the cockpits of WWII-era aircraft to take on huge waves of incoming enemy fire, dodging explosions and missiles while challenging huge bosses at the end of each stage. New co-op ""Joint Strike attacks"" combine the powers of two aircrafts into a devastating barrage. [Capcom]",69,5.9
2002 FIFA World Cup,PlayStation,"April 30, 2002","Kick off the FIFA World Cup season with 2002 FIFA World Cup, which captures every moment of glory, every emotion, and every sound of the global event. The game boasts licenses from the official FIFA World Cup, insignia, mascots, and the 20 new World Cup stadiums in Japan and Korea. Another enhancement includes Air Play, a new control scheme that delivers intuitive one-button headers, volleys, scissors kicks, juggling, and more. Choose your team and then compete in a seven-game series beginning with round-robin play, followed by playoffs that lead to the final match. ",tbd,4.6
2002 FIFA World Cup,PlayStation 2,"April 22, 2002","The official soccer game of the 2002 Korea/Japan World Cup features new ""Air Play"" gameplay with intuitive one-button headers, volleys, scissor kicks, juggling and showboating. New player-to-player animations allow for agressive jostling for the ball on the ground and in the air. The Tournament Mode features a seven game series beginning with round-robin play, followed by playoffs leading to the final match with a progressive story line and a rising intensity as you advance. [EA Sports]",73,5.6
2010 FIFA World Cup South Africa,PlayStation 3,"April 27, 2010","EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each qualifying region. Gamers can play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation.  Everything fans love about the World Cup comes to life in spectacular  detail, including confetti rain, streamers, & fireworks - just like the official tournament. [Electronic Arts]",82,7.6
2014 FIFA World Cup Brazil,PlayStation 3,"April 15, 2014","An all-new feature and one of 100 new animations, Over-the-Back Headers give players the ability to jump over top of the opposition to win the ball. On defense, jump over the back of a holding attacker to clear the ball to safety or while in attack, jump over your defender to unleash a header on goal.",73,4.8
24: The Game,PlayStation 2,"February 28, 2006","24: The Game is set between seasons two and three and provides the answers to many unanswered questions: who was really behind the assassination attempt on President Palmer? How did Kim Bauer get a job in the L.A. CTU? How did Jack Bauer and Chase Edmunds first start working together? The game has jaw-dropping revelations for '24' fans and thrilling, non-stop time-pressure gameplay. 24: The Game has multiple character plots and strands and over 100 missions covering multiple genres of game-play including: on-foot sections with shooting, stealth, puzzles and sniping; driving challenges varying from stealthy tailing to high-speed pursuits; interrogations where you have to coerce information out of suspects and gadget sections including decoding information and examining satellite images. [SCEE]",62,7.9
25 to Life,PlayStation 2,"January 17, 2006","25 to Life is the game the streets have been waiting for. Play as either cops or gangsters in this urban third person shooter. The game delivers intense Online gameplay for up to 16 players, as well as a rich single player experience. Set in the heart of today's cities, experience the gritty lifestyles of police task forces or as a gangster survive the local neighborhood thugs while fighting your way up the inner sanctum of the drug lord's mansion, your knowledge of the streets will be put to the test because...25 to Life IS the streets!  [Eidos Interactive]",39,5.2
2K Essentials Collection,PlayStation 3,"October 22, 2013","Features the groundbreaking originals, BioShock and Borderlands, as well as the highly acclaimed XCOM: Enemy Unknown. A must have collection for any game library.",tbd,tbd
2K Power Pack,PlayStation 3,"October 29, 2013","Get ready to wield some amazing power from the genetically altered abilities in Bioshock 2, to the lure of dark forces in The Darkness II and good ole gangster firepower in Mafia II this pack has them all.",tbd,tbd
